record_type,elapsed_seconds,voltage_v,raw_response,query_elapsed_ms
sample,0.031,1.79E-07,1.79E-07,10.337
sample,0.313,1.90E-07,1.90E-07,14.083
sample,0.563,1.90E-07,1.90E-07,11.745
sample,0.813,1.75E-07,1.75E-07,10.883
sample,1.063,1.75E-07,1.75E-07,10.201
sample,1.344,1.79E-07,1.79E-07,11.241
sample,1.594,1.79E-07,1.79E-07,11.155
sample,1.875,1.79E-07,1.79E-07,10.797
sample,2.125,1.85E-07,1.85E-07,10.947
sample,2.375,1.85E-07,1.85E-07,10.59
sample,2.625,1.87E-07,1.87E-07,11.465
sample,2.875,1.88E-07,1.88E-07,10.998
sample,3.141,1.88E-07,1.88E-07,11.222
sample,3.391,1.87E-07,1.87E-07,10.776
sample,3.656,1.87E-07,1.87E-07,10.521
sample,3.906,1.79E-07,1.79E-07,10.234
sample,4.172,1.90E-07,1.90E-07,10.92
sample,4.438,1.90E-07,1.90E-07,10.811
sample,4.688,1.91E-07,1.91E-07,10.117
sample,4.969,1.91E-07,1.91E-07,11.517
sample,5.219,1.84E-07,1.84E-07,10.992
sample,5.469,1.91E-07,1.91E-07,10.829
sample,5.735,1.91E-07,1.91E-07,11.05
sample,5.985,1.78E-07,1.78E-07,10.133
sample,6.266,1.78E-07,1.78E-07,15.767
sample,6.5,2.03E-07,2.03E-07,10.146
sample,6.797,1.86E-07,1.86E-07,10.547
sample,7.047,1.86E-07,1.86E-07,10.474
sample,7.297,1.90E-07,1.90E-07,10.544
sample,7.547,1.64E-07,1.64E-07,12.559
sample,7.797,1.64E-07,1.64E-07,10.643
sample,8.078,8.75E-08,8.75E-08,12.028
sample,8.328,8.75E-08,8.75E-08,11.08
sample,8.578,1.76E-07,1.76E-07,10.597
sample,8.844,1.65E-07,1.65E-07,11.175
sample,9.094,1.65E-07,1.65E-07,10.849
sample,9.375,1.47E-07,1.47E-07,10.18
sample,9.625,1.47E-07,1.47E-07,10.879
sample,9.891,1.45E-07,1.45E-07,10.605
sample,10.172,1.12E-07,1.12E-07,10.834
sample,10.422,1.12E-07,1.12E-07,12.99
sample,10.672,8.32E-08,8.32E-08,10.953
sample,10.922,8.32E-08,8.32E-08,10.355
sample,11.188,8.02E-08,8.02E-08,10.83
sample,11.438,8.13E-08,8.13E-08,10.704
sample,11.703,8.13E-08,8.13E-08,11.38
sample,11.969,6.90E-08,6.90E-08,10.704
sample,12.25,8.02E-08,8.02E-08,10.733
sample,12.5,8.02E-08,8.02E-08,11.081
sample,12.75,8.12E-08,8.12E-08,10.336
sample,13,8.12E-08,8.12E-08,10.33
sample,13.266,7.41E-08,7.41E-08,10.682
sample,13.516,6.87E-08,6.87E-08,11.477
sample,13.781,6.87E-08,6.87E-08,11.861
sample,14.031,6.14E-08,6.14E-08,12.214
sample,14.297,6.14E-08,6.14E-08,11.11
sample,14.547,5.07E-08,5.07E-08,11.33
sample,14.813,6.86E-08,6.86E-08,10.844
sample,15.094,6.86E-08,6.86E-08,10.728
sample,15.344,6.28E-08,6.28E-08,11.678
sample,15.594,6.28E-08,6.28E-08,11.35
sample,15.86,7.59E-08,7.59E-08,10.406
sample,16.125,7.07E-08,7.07E-08,11.251
sample,16.375,7.07E-08,7.07E-08,13.138
sample,16.656,6.56E-08,6.56E-08,10.947
sample,16.906,6.56E-08,6.56E-08,11.135
sample,17.156,4.93E-08,4.93E-08,10.079
sample,17.422,7.53E-08,7.53E-08,11.787
sample,17.672,7.53E-08,7.53E-08,10.478
sample,17.938,7.20E-08,7.20E-08,10.393
sample,18.203,1.01E-07,1.01E-07,20.818
sample,18.453,1.01E-07,1.01E-07,10.691
sample,18.703,1.45E-07,1.45E-07,10.14
sample,18.969,1.45E-07,1.45E-07,11.316
sample,19.25,1.29E-07,1.29E-07,10.307
sample,19.5,1.30E-07,1.30E-07,10.885
sample,19.75,1.30E-07,1.30E-07,11.609
sample,20.016,1.28E-07,1.28E-07,10.632
sample,20.281,1.28E-07,1.28E-07,10.899
sample,20.531,1.48E-07,1.48E-07,10.306
sample,20.797,1.59E-07,1.59E-07,10.662
sample,21.047,1.59E-07,1.59E-07,11.228
sample,21.313,1.73E-07,1.73E-07,11.164
sample,21.594,1.73E-07,1.73E-07,16.883
sample,21.844,1.68E-07,1.68E-07,10.404
sample,22.094,1.80E-07,1.80E-07,11.174
sample,22.36,1.80E-07,1.80E-07,10.129
sample,22.641,1.70E-07,1.70E-07,10.684
sample,22.891,1.91E-07,1.91E-07,10.227
sample,23.141,1.91E-07,1.91E-07,10.689
sample,23.391,1.93E-07,1.93E-07,10.915
sample,23.641,1.93E-07,1.93E-07,10.235
sample,23.906,2.05E-07,2.05E-07,11.093
sample,24.172,2.08E-07,2.08E-07,11.525
sample,24.438,2.08E-07,2.08E-07,10.488
sample,24.688,2.07E-07,2.07E-07,11.428
sample,24.953,2.07E-07,2.07E-07,10.016
sample,25.235,2.21E-07,2.21E-07,11.576
sample,25.485,2.26E-07,2.26E-07,10.628
sample,25.735,2.26E-07,2.26E-07,10.976
sample,25.985,2.27E-07,2.27E-07,10.508
sample,26.25,2.27E-07,2.27E-07,10.831
sample,26.516,2.45E-07,2.45E-07,10.845
sample,26.766,2.61E-07,2.61E-07,10.577
sample,27.031,2.61E-07,2.61E-07,10.711
sample,27.297,2.54E-07,2.54E-07,10.764
sample,27.563,2.47E-07,2.47E-07,21.668
sample,27.813,2.47E-07,2.47E-07,11.381
sample,28.063,2.70E-07,2.70E-07,10.328
sample,28.328,2.70E-07,2.70E-07,11.312
sample,28.61,2.71E-07,2.71E-07,10.125
sample,28.86,2.87E-07,2.87E-07,10.595
sample,29.11,2.87E-07,2.87E-07,11.489
sample,29.36,2.75E-07,2.75E-07,10.496
sample,29.641,2.75E-07,2.75E-07,10.749
sample,29.891,2.92E-07,2.92E-07,10.697
sample,30.141,3.05E-07,3.05E-07,10.957
sample,30.391,3.05E-07,3.05E-07,10.463
sample,30.656,3.11E-07,3.11E-07,10.432
sample,30.906,3.11E-07,3.11E-07,10.838
sample,31.156,3.13E-07,3.13E-07,9.938
sample,31.422,3.17E-07,3.17E-07,10.73
sample,31.672,3.17E-07,3.17E-07,10.02
sample,31.953,3.30E-07,3.30E-07,11.206
sample,32.188,3.30E-07,3.30E-07,11.786
sample,32.453,3.37E-07,3.37E-07,11
sample,32.719,3.41E-07,3.41E-07,10.749
sample,32.969,3.41E-07,3.41E-07,12.515
sample,33.235,3.43E-07,3.43E-07,11.327
sample,33.485,3.43E-07,3.43E-07,11.367
sample,33.735,3.38E-07,3.38E-07,10.661
sample,34,3.60E-07,3.60E-07,11.207
sample,34.281,3.60E-07,3.60E-07,10.854
sample,34.516,3.52E-07,3.52E-07,9.964
sample,34.797,3.76E-07,3.76E-07,11.594
sample,35.047,3.76E-07,3.76E-07,10.668
sample,35.313,3.77E-07,3.77E-07,11.928
sample,35.578,3.77E-07,3.77E-07,11.355
sample,35.828,3.73E-07,3.73E-07,10.476
sample,36.094,3.69E-07,3.69E-07,10.99
sample,36.36,3.69E-07,3.69E-07,10.816
sample,36.625,3.94E-07,3.94E-07,10.213
sample,36.875,3.94E-07,3.94E-07,11.064
sample,37.125,3.96E-07,3.96E-07,11.489
sample,37.391,4.03E-07,4.03E-07,10.646
sample,37.641,4.03E-07,4.03E-07,10.584
sample,37.906,3.95E-07,3.95E-07,10.19
sample,38.172,3.95E-07,3.95E-07,11.587
sample,38.422,3.91E-07,3.91E-07,10.471
sample,38.688,4.10E-07,4.10E-07,10.45
sample,38.938,4.10E-07,4.10E-07,12.35
sample,39.203,4.28E-07,4.28E-07,10.611
sample,39.485,4.21E-07,4.21E-07,12.637
sample,39.735,4.21E-07,4.21E-07,11.406
sample,39.985,4.25E-07,4.25E-07,10.994
sample,40.235,4.25E-07,4.25E-07,10.012
sample,40.5,4.26E-07,4.26E-07,10.182
sample,40.766,4.31E-07,4.31E-07,10.683
sample,41.031,4.31E-07,4.31E-07,10.886
sample,41.281,4.37E-07,4.37E-07,11.683
sample,41.547,4.37E-07,4.37E-07,11.139
sample,41.797,4.33E-07,4.33E-07,11.576
sample,42.078,4.31E-07,4.31E-07,10.425
sample,42.328,4.31E-07,4.31E-07,11.695
sample,42.594,4.42E-07,4.42E-07,10.589
sample,42.844,4.42E-07,4.42E-07,11.187
sample,43.094,4.57E-07,4.57E-07,11.735
sample,43.344,4.48E-07,4.48E-07,11.115
sample,43.625,4.48E-07,4.48E-07,10.532
sample,43.875,4.42E-07,4.42E-07,10.978
sample,44.125,4.42E-07,4.42E-07,10.526
sample,44.375,4.41E-07,4.41E-07,10.477
sample,44.656,4.60E-07,4.60E-07,10.28
sample,44.906,4.60E-07,4.60E-07,12.586
sample,45.156,4.45E-07,4.45E-07,10.792
sample,45.422,4.45E-07,4.45E-07,11.184
sample,45.672,4.50E-07,4.50E-07,10.089
sample,45.938,4.67E-07,4.67E-07,10.421
sample,46.188,4.67E-07,4.67E-07,10.896
sample,46.453,4.62E-07,4.62E-07,10.266
sample,46.735,4.51E-07,4.51E-07,10.452
sample,46.985,4.51E-07,4.51E-07,10.045
sample,47.235,4.58E-07,4.58E-07,10.802
sample,47.485,4.58E-07,4.58E-07,10.299
sample,47.766,4.71E-07,4.71E-07,10.854
sample,48.016,4.68E-07,4.68E-07,10.98
sample,48.266,4.68E-07,4.68E-07,10.403
sample,48.547,4.64E-07,4.64E-07,11.069
sample,48.797,4.64E-07,4.64E-07,10.722
sample,49.047,4.62E-07,4.62E-07,10.064
sample,49.313,4.78E-07,4.78E-07,10.14
sample,49.563,4.78E-07,4.78E-07,11.6
sample,49.828,4.56E-07,4.56E-07,10.423
sample,50.094,4.56E-07,4.56E-07,10.429
sample,50.344,4.70E-07,4.70E-07,10.291
sample,50.61,4.65E-07,4.65E-07,10.777
sample,50.86,4.65E-07,4.65E-07,12.885
