elapsed_seconds,voltage_v,raw_response,query_elapsed_ms
0.047000,-1.2673391e-08,-1.26733910E-08,9.878
0.297000,-1.96333433e-08,-1.96333433E-08,10.265
0.547000,-1.73133592e-08,-1.73133592E-08,10.805
0.797000,-1.73133592e-08,-1.73133592E-08,10.242
1.047000,-1.00508002e-08,-1.00508002E-08,10.550
1.297000,-1.00508002e-08,-1.00508002E-08,10.278
1.547000,-9.74819362e-09,-9.74819362E-09,10.728
1.812000,-2.28611473e-08,-2.28611473E-08,21.421
2.047000,-2.28611473e-08,-2.28611473E-08,10.772
2.281000,-1.88263923e-08,-1.88263923E-08,10.147
2.547000,-1.88263923e-08,-1.88263923E-08,10.831
2.797000,-1.36820797e-08,-1.36820797E-08,10.713
3.062000,-1.36820797e-08,-1.36820797E-08,15.739
3.343000,-1.90281301e-08,-1.90281301E-08,10.670
3.593000,-1.86246546e-08,-1.86246546E-08,10.675
3.843000,-1.86246546e-08,-1.86246546E-08,11.167
4.093000,-1.19673023e-08,-1.19673023E-08,10.151
4.359000,-1.307686e-08,-1.30768600E-08,11.053
4.625000,-1.307686e-08,-1.30768600E-08,10.855
4.906000,-3.32506361e-08,-3.32506361E-08,10.469
5.156000,-3.32506361e-08,-3.32506361E-08,10.058
5.406000,-1.89272551e-08,-1.89272551E-08,9.845
5.672000,-9.64731809e-09,-9.64731809E-09,10.226
5.922000,-9.64731809e-09,-9.64731809E-09,10.136
6.187000,-2.44750435e-08,-2.44750435E-08,10.934
6.453000,-2.44750435e-08,-2.44750435E-08,9.721
6.718000,-1.36820733e-08,-1.36820733E-08,10.451
6.984000,-1.83220418e-08,-1.83220418E-08,10.288
7.234000,-1.83220418e-08,-1.83220418E-08,10.829
7.500000,-1.29759911e-08,-1.29759911E-08,10.680
7.765000,-2.36680924e-08,-2.36680924E-08,11.271
8.031000,-2.36680924e-08,-2.36680924E-08,11.253
8.281000,-7.3273407e-09,-7.32734070E-09,10.949
8.547000,-7.3273407e-09,-7.32734070E-09,10.553
8.828000,-1.60020639e-08,-1.60020639E-08,9.905
9.078000,-1.15638334e-08,-1.15638334E-08,11.089
9.328000,-1.15638334e-08,-1.15638334E-08,11.140
9.593000,-6.9238652e-09,-6.92386520E-09,11.715
9.859000,-6.9238652e-09,-6.92386520E-09,10.843
10.109000,-4.2482249e-07,-4.24822490E-07,11.887
10.390000,1.67478419e-07,+1.67478419E-07,11.619
10.640000,1.67478419e-07,+1.67478419E-07,10.654
10.922000,9.15241564e-08,+9.15241564E-08,11.475
11.172000,-3.48969387e-07,-3.48969387E-07,11.659
11.422000,-3.48969387e-07,-3.48969387E-07,10.076
11.687000,-4.8885317e-08,-4.88853170E-08,10.391
11.953000,-4.8885317e-08,-4.88853170E-08,10.217
12.218000,4.50236052e-08,+4.50236052E-08,10.225
12.484000,-3.4069816e-07,-3.40698160E-07,10.204
12.734000,-3.4069816e-07,-3.40698160E-07,12.387
13.015000,2.67943797e-07,+2.67943797E-07,10.648
13.265000,2.67943797e-07,+2.67943797E-07,15.994
13.547000,-1.65388735e-07,-1.65388735E-07,10.778
13.797000,-1.79409454e-07,-1.79409454E-07,10.912
14.047000,-1.79409454e-07,-1.79409454E-07,10.443
14.297000,1.59308025e-07,+1.59308025E-07,10.694
14.562000,-1.01236265e-07,-1.01236265E-07,10.748
14.828000,-1.01236265e-07,-1.01236265E-07,11.765
