elapsed_seconds,voltage_v,raw_response,query_elapsed_ms
0.047000,-3.15357862e-08,-3.15357862E-08,9.805
0.328000,-1.17654701e-08,-1.17654701E-08,10.980
0.563000,-2.33654005e-08,-2.33654005E-08,10.273
0.828000,-2.33654005e-08,-2.33654005E-08,10.485
1.078000,-2.80053726e-08,-2.80053726E-08,11.034
1.328000,-2.80053726e-08,-2.80053726E-08,10.905
1.594000,-2.72992899e-08,-2.72992899E-08,10.679
1.860000,-3.16366552e-08,-3.16366552E-08,9.940
2.125000,-3.16366552e-08,-3.16366552E-08,10.958
2.391000,-2.74001589e-08,-2.74001589E-08,11.555
2.641000,-2.74001589e-08,-2.74001589E-08,10.844
2.891000,-2.66940762e-08,-2.66940762E-08,10.525
3.141000,-3.4662724e-08,-3.46627240E-08,10.544
3.407000,-3.4662724e-08,-3.46627240E-08,10.704
3.657000,-3.52679463e-08,-3.52679463E-08,10.882
3.922000,-3.52679463e-08,-3.52679463E-08,10.542
4.172000,-2.38697549e-08,-2.38697549E-08,10.206
4.438000,-2.99218919e-08,-2.99218919E-08,11.349
4.703000,-2.99218919e-08,-2.99218919E-08,12.048
4.953000,-3.25444847e-08,-3.25444847E-08,10.228
5.203000,-3.25444847e-08,-3.25444847E-08,10.453
