elapsed_seconds,voltage_v,raw_response,query_elapsed_ms
0.062000,-2.92157904e-08,-2.92157904E-08,11.135
0.312000,-3.87983425e-08,-3.87983425E-08,10.337
0.578000,-3.87983425e-08,-3.87983425E-08,10.717
0.859000,-3.20401216e-08,-3.20401216E-08,10.516
1.109000,-4.7372205e-08,-4.73722050E-08,10.955
1.359000,-4.7372205e-08,-4.73722050E-08,11.393
1.609000,-4.32365772e-08,-4.32365772E-08,11.173
1.843000,-4.32365772e-08,-4.32365772E-08,10.038
2.125000,-4.20261496e-08,-4.20261496E-08,10.525
2.375000,-4.09165909e-08,-4.09165909E-08,10.734
2.625000,-4.09165909e-08,-4.09165909E-08,12.224
2.875000,-3.75879149e-08,-3.75879149E-08,10.220
3.140000,-3.75879149e-08,-3.75879149E-08,9.838
3.390000,-4.10174599e-08,-4.10174599E-08,10.161
3.671000,-4.29339538e-08,-4.29339538E-08,10.385
3.921000,-4.29339538e-08,-4.29339538E-08,10.189
4.171000,-4.0916574e-08,-4.09165740E-08,11.127
4.421000,-4.0916574e-08,-4.09165740E-08,15.802
4.671000,-3.96052772e-08,-3.96052772E-08,11.024
4.937000,-4.41443817e-08,-4.41443817E-08,10.096
5.203000,-4.41443817e-08,-4.41443817E-08,10.062
5.453000,-4.19252639e-08,-4.19252639E-08,10.497
5.718000,-3.48644347e-08,-3.48644347E-08,10.211
5.968000,-3.48644347e-08,-3.48644347E-08,10.808
6.234000,-4.84817482e-08,-4.84817482E-08,10.604
6.468000,-4.84817482e-08,-4.84817482E-08,9.846
6.750000,-4.68678443e-08,-4.68678443E-08,11.382
6.984000,-4.05130981e-08,-4.05130981E-08,9.602
