elapsed_seconds,voltage_v,raw_response,query_elapsed_ms
0.062000,7.71878046e-08,+7.71878046E-08,10.331
0.312000,7.71878046e-08,+7.71878046E-08,10.319
0.562000,8.54575033e-08,+8.54575033E-08,10.127
0.844000,9.46348518e-08,+9.46348518E-08,11.232
1.094000,9.46348518e-08,+9.46348518E-08,11.311
1.359000,7.95073543e-08,+7.95073543E-08,11.718
1.609000,7.95073543e-08,+7.95073543E-08,10.595
1.890000,8.2028607e-08,+8.20286070E-08,10.651
2.140000,8.2028607e-08,+8.20286070E-08,10.721
2.406000,8.2028607e-08,+8.20286070E-08,10.358
2.656000,7.65827078e-08,+7.65827078E-08,10.295
2.906000,7.65827078e-08,+7.65827078E-08,11.311
3.156000,8.67685563e-08,+8.67685563E-08,10.916
3.422000,8.1826907e-08,+8.18269070E-08,9.966
3.672000,8.1826907e-08,+8.18269070E-08,12.771
3.906000,8.04150072e-08,+8.04150072E-08,9.978
4.187000,8.04150072e-08,+8.04150072E-08,9.904
4.453000,7.99107573e-08,+7.99107573E-08,10.982
4.703000,7.67844078e-08,+7.67844078E-08,11.617
4.969000,7.67844078e-08,+7.67844078E-08,10.482
5.219000,8.59617564e-08,+8.59617564E-08,11.523
5.469000,8.59617564e-08,+8.59617564E-08,10.651
5.719000,7.5473358e-08,+7.54733580E-08,10.600
5.969000,9.28195187e-08,+9.28195187E-08,10.701
6.219000,9.28195187e-08,+9.28195187E-08,10.864
6.469000,8.31379217e-08,+8.31379217E-08,11.206
6.719000,8.31379217e-08,+8.31379217E-08,11.454
6.969000,8.55583209e-08,+8.55583209E-08,12.163
7.250000,8.25328219e-08,+8.25328219E-08,10.332
7.500000,8.25328219e-08,+8.25328219E-08,12.463
7.750000,9.25169688e-08,+9.25169688E-08,10.466
8.000000,9.25169688e-08,+9.25169688E-08,10.629
8.250000,7.81962732e-08,+7.81962732E-08,11.769
8.531000,8.46506712e-08,+8.46506712E-08,10.085
8.781000,8.46506712e-08,+8.46506712E-08,10.447
9.031000,9.34246185e-08,+9.34246185E-08,10.443
9.281000,9.34246185e-08,+9.34246185E-08,11.558
9.531000,7.68852236e-08,+7.68852236E-08,10.334
9.797000,8.93906197e-08,+8.93906197E-08,10.998
10.062000,8.93906197e-08,+8.93906197E-08,12.904
10.328000,8.22302924e-08,+8.22302924E-08,11.275
10.594000,8.22302924e-08,+8.22302924E-08,10.594
10.844000,8.01124428e-08,+8.01124428E-08,10.613
